Year,Beer,Bread,Butter,Cheese,Coffee,Eggs,Margarine,Milk,PorkSteak,Potatoes,Rice,Sugar,Tea
1900JJ00,0.02,0.05,0.14,0.21,0.16,0.01,0.11,0.03,0.25,0.01,0.05,0.16,0.04
1901JJ00,0.02,0.05,0.14,0.2,0.15,0.01,0.11,0.03,0.25,0.01,0.05,0.16,0.03
1902JJ00,0.02,0.05,0.13,0.21,0.16,0.01,0.15,0.03,0.3,0.01,0.05,0.15,0.04
1903JJ00,0.02,0.05,0.14,0.2,0.13,0.01,0.11,0.03,0.29,0.02,0.05,0.15,0.04
1904JJ00,0.02,0.05,0.14,0.22,0.14,0.02,0.11,0.03,0.27,0.02,0.05,0.15,0.04
1905JJ00,0.02,0.05,0.14,0.21,0.14,0.02,0.13,0.03,0.28,0.02,0.05,0.19,0.03
1906JJ00,0.02,0.05,0.15,0.22,0.15,0.02,0.13,0.03,0.31,0.02,0.05,0.17,0.04
1907JJ00,0.02,0.05,0.14,0.21,0.15,0.02,0.13,0.03,0.34,0.02,0.05,0.16,0.04
1908JJ00,0.02,0.05,0.15,0.23,0.16,0.02,0.16,0.03,0.33,0.02,0.06,0.17,0.04
1909JJ00,0.02,0.06,0.15,0.25,0.18,0.02,0.17,0.03,0.35,0.02,0.06,0.17,0.04
1910JJ00,0.02,0.06,0.15,0.26,0.2,0.02,0.15,0.03,0.38,0.02,0.06,0.17,0.04
1911JJ00,0.02,0.05,0.16,0.29,0.22,0.02,0.13,0.04,0.36,0.02,0.06,0.18,0.04
1912JJ00,0.02,0.05,0.16,0.28,0.24,0.02,0.17,0.04,0.35,0.02,0.07,0.19,0.04
1913JJ00,0.02,0.06,0.16,0.28,0.21,0.02,0.15,0.04,0.37,0.02,0.07,0.19,0.04
1914JJ00,       .,       .,       .,0.48,0.3,       .,0.23,       .,       .,       .,0.14,0.24,0.08
1915JJ00,       .,       .,       .,0.52,0.31,       .,0.24,       .,       .,       .,0.14,0.25,0.08
1916JJ00,       .,       .,       .,0.5,0.35,       .,0.26,       .,       .,       .,0.16,0.26,0.09
1917JJ00,       .,       .,       .,0.52,0.42,       .,0.28,       .,       .,       .,0.16,0.27,0.1
1918JJ00,       .,       .,       .,0.7,0.63,       .,0.31,       .,       .,       .,0.16,0.27,0.1
1919JJ00,       .,       .,       .,0.79,0.59,       .,0.34,       .,       .,       .,0.25,0.33,0.11
1920JJ00,       .,       .,       .,0.88,0.52,       .,0.38,       .,       .,       .,0.44,0.47,0.11
1921JJ00,       .,0.12,0.35,0.95,0.4,0.07,0.33,0.1,1.11,       .,0.22,0.33,0.09
1922JJ00,       .,0.1,0.29,0.78,0.4,0.05,0.29,0.08,1.01,0.05,0.18,0.27,0.09
1923JJ00,       .,0.09,0.29,0.77,0.41,0.04,0.29,0.07,0.94,0.03,0.16,0.31,0.12
1924JJ00,       .,0.09,0.3,0.78,0.46,0.04,0.27,0.07,0.94,0.05,0.16,0.3,0.13
1925JJ00,       .,0.1,0.26,0.72,0.53,0.04,0.27,0.08,0.94,0.04,0.17,0.25,0.15
1926JJ00,       .,0.1,0.26,0.72,0.53,0.04,0.27,0.07,0.84,0.04,0.17,0.23,0.15
1927JJ00,       .,0.1,0.27,0.67,0.5,0.04,0.25,0.07,0.77,0.05,0.17,0.24,0.14
1928JJ00,       .,0.1,0.27,0.72,0.49,0.04,0.25,0.07,0.75,0.05,0.17,0.23,0.13
1929JJ00,       .,0.09,0.27,0.71,0.49,0.04,0.25,0.07,0.86,0.04,0.17,0.21,0.13
1930JJ00,       .,0.09,0.23,0.64,0.45,0.03,0.25,0.06,0.84,0.04,0.16,0.27,0.13
1931JJ00,       .,0.07,0.19,0.55,0.4,0.03,0.23,0.05,0.65,0.04,0.15,0.18,0.12
1932JJ00,       .,0.07,0.17,0.41,0.37,0.02,0.2,0.05,0.49,0.04,0.14,0.18,0.11
1933JJ00,       .,0.07,0.21,0.39,0.37,0.02,0.26,0.05,0.53,0.03,0.12,0.2,0.11
1934JJ00,       .,0.07,0.2,0.35,0.35,0.02,0.26,0.05,0.53,0.03,0.11,0.22,0.11
1935JJ00,       .,0.08,0.2,0.29,0.33,0.02,0.26,0.05,0.5,0.03,0.1,0.21,0.1
1936JJ00,       .,0.08,0.2,0.31,0.31,0.02,0.25,0.05,0.49,0.02,0.1,0.21,0.1
1937JJ00,       .,0.08,0.2,0.32,0.3,0.02,0.25,0.05,0.54,0.02,0.11,0.21,0.11
1938JJ00,       .,0.08,0.19,0.34,0.3,0.02,0.25,0.05,0.57,0.03,0.11,0.21,0.11
1939JJ00,       .,0.08,0.19,0.34,0.3,0.02,0.26,0.05,0.56,0.03,0.11,0.21,0.11
1940JJ00,       .,0.08,0.22,0.44,0.34,0.03,0.29,0.06,0.62,0.03,0.13,0.24,0.12
1941JJ00,       .,0.08,0.28,0.69,       .,0.04,0.3,0.07,0.75,0.04,0.15,0.25,0.13
1942JJ00,       .,       .,0.29,0.77,       .,0.05,0.31,0.08,0.82,0.04,0.15,0.25,       .
1943JJ00,       .,       .,0.29,0.77,       .,0.05,0.31,0.08,0.82,0.04,0.17,0.25,       .
1944JJ00,       .,       .,0.29,0.77,       .,0.05,0.31,0.08,0.82,0.04,0.18,0.25,       .
1945JJ00,       .,       .,0.29,0.8,0.36,0.07,0.31,0.08,0.82,0.05,0.23,0.25,       .
1946JJ00,       .,       .,0.29,0.87,0.46,0.1,0.31,0.08,1.06,0.05,0.23,0.25,0.18
1947JJ00,       .,       .,0.3,0.88,0.69,0.08,0.31,0.09,1.17,0.05,0.23,0.25,0.21
1948JJ00,       .,0.16,0.42,1.03,0.74,0.08,0.31,0.1,1.35,0.05,0.32,0.27,0.29
1949JJ00,       .,0.16,0.51,1.47,0.88,0.08,0.31,0.09,1.53,0.05,0.45,0.34,0.28
1950JJ00,       .,0.17,0.54,1.46,1.18,0.08,0.32,0.09,1.7,0.07,0.46,0.34,0.32
1951JJ00,0.37,0.19,0.52,1.56,1.74,0.08,0.45,0.1,1.96,0.07,0.49,0.4,0.26
1952JJ00,0.39,0.19,0.56,1.55,1.85,0.09,0.41,0.1,2.18,0.07,0.56,0.41,0.24
1953JJ00,0.39,0.18,0.53,1.52,1.91,0.09,0.4,0.1,2.08,0.08,0.69,0.41,0.23
1954JJ00,0.39,0.19,0.52,1.51,2.3,0.08,0.39,0.11,2.19,0.09,0.56,0.37,0.32
1955JJ00,0.39,0.19,0.55,1.55,2.06,0.09,0.36,0.13,2.18,0.08,0.46,0.36,0.36
1956JJ00,0.39,0.19,0.55,1.55,1.72,0.09,0.34,0.14,2.34,0.09,0.45,0.35,0.3
1957JJ00,0.44,0.2,0.55,1.61,1.73,0.08,0.35,0.15,2.45,0.1,0.48,0.4,0.3
1958JJ00,0.47,0.2,0.46,1.47,1.62,0.08,0.34,0.16,2.49,0.1,0.48,0.43,0.29
1959JJ00,0.47,0.2,0.53,1.58,1.5,0.08,0.35,0.16,2.6,0.11,0.47,0.44,0.29
1960JJ00,0.47,0.2,0.44,1.49,1.38,0.08,0.33,0.18,2.54,0.11,0.45,0.44,0.32
1961JJ00,0.47,0.2,0.46,1.52,1.34,0.08,0.33,0.19,2.7,0.1,0.45,0.44,0.32
1962JJ00,0.47,0.21,0.45,1.53,1.33,0.07,0.31,0.19,2.67,0.15,0.46,0.44,0.32
1963JJ00,0.47,0.23,0.49,1.59,1.33,0.09,0.32,0.2,2.94,0.11,0.46,0.45,0.32
1964JJ00,0.5,0.25,0.59,1.84,1.59,0.08,0.33,0.22,3.26,0.12,0.46,0.49,0.3
1965JJ00,0.5,0.26,0.63,1.93,1.62,0.09,0.37,0.22,3.29,0.14,0.52,0.51,0.29
1966JJ00,0.53,0.29,0.67,2.14,1.72,0.08,0.34,0.23,3.42,0.17,0.54,0.53,0.29
1967JJ00,0.53,0.31,0.74,2.32,1.63,0.08,0.34,0.24,3.62,0.14,0.61,0.55,0.3
1968JJ00,0.54,0.33,0.79,2.38,1.63,0.09,0.36,0.25,3.77,0.12,0.69,0.57,0.3
1969JJ00,0.54,0.35,0.82,2.6,1.64,0.09,0.35,0.25,4.27,0.16,0.74,0.56,0.3
1970JJ00,0.54,0.36,0.83,2.68,1.98,0.08,0.48,0.29,4.52,0.21,0.83,0.52,0.31
1971JJ00,0.58,0.39,0.86,3.18,2.01,0.09,0.52,0.31,4.52,0.15,0.9,0.56,0.32
1972JJ00,0.58,0.43,0.88,3.25,1.98,0.09,0.48,0.34,4.86,0.18,0.93,0.56,0.34
1973JJ00,0.59,0.46,0.88,3.35,2.11,0.1,0.54,0.36,5.59,0.25,0.93,0.56,0.33
1974JJ00,0.63,0.53,0.85,3.55,2.11,0.1,0.78,0.39,5.29,0.2,1.11,0.59,0.34
1975JJ00,0.67,0.59,0.94,3.96,2.03,0.1,0.68,0.43,5.55,0.27,1.09,0.7,0.36
1976JJ00,0.68,0.64,1.01,4.16,2.88,0.11,0.64,0.45,6.23,0.56,1.01,0.76,0.36
1977JJ00,0.69,0.67,1.05,4.48,4.95,0.11,0.69,0.49,6.23,0.31,1.13,0.77,0.48
1978JJ00,0.71,0.73,1.04,4.74,3.75,0.1,0.68,0.5,6.31,0.22,1.17,0.79,0.49
1979JJ00,0.73,0.75,1.04,4.73,3.26,0.1,0.7,0.5,6.32,0.33,1.16,0.81,0.48
1980JJ00,0.75,0.79,1.09,5.05,3.3,0.11,0.69,0.52,6.6,0.29,1.21,0.83,0.54
1981JJ00,0.77,0.87,1.15,5.15,2.98,0.13,0.74,0.56,6.93,0.31,1.23,0.9,0.55
1982JJ00,0.89,0.94,1.19,5.44,3.23,0.11,0.75,0.6,7.46,0.34,1.24,1,0.57
1983JJ00,0.92,0.95,1.26,5.54,3.26,0.12,0.79,0.6,7.33,0.37,1.28,1.04,0.61
1984JJ00,0.9,0.98,1.15,5.67,3.88,0.13,1.17,0.58,7.12,0.47,1.41,1.05,0.82
1985JJ00,0.91,0.98,1.09,5.8,3.92,0.12,1.12,0.59,7.24,0.28,1.54,1.06,0.79
1986JJ00,0.91,0.98,1.12,5.79,4.14,0.11,0.89,0.6,7.23,0.28,1.62,1.06,0.66
1987JJ00,0.91,0.99,1.12,5.94,2.7,0.11,0.81,0.59,6.87,0.29,1.59,1.06,0.63
1988JJ00,0.9,1.01,1.11,6.22,2.65,0.11,0.8,0.61,6.68,0.29,1.7,1.06,0.63
1989JJ00,1.02,1,1.14,6.39,2.72,0.11,0.83,0.63,7.1,0.35,1.69,0.93,0.63
1990JJ00,1.05,1.02,1.11,6.43,2.25,0.11,0.85,0.62,7.51,0.36,1.72,0.92,0.68
1991JJ00,1.1,1.04,1.1,6.46,2.25,0.11,0.92,0.62,7.52,0.4,1.74,0.92,0.68
1992JJ00,1.13,1.09,1.12,6.51,2.25,0.11,0.96,0.64,7.81,0.34,1.74,0.93,0.69
1993JJ00,1.18,1.12,1.09,6.61,2.27,0.12,0.98,0.66,7.51,0.32,1.72,0.89,0.7
1994JJ00,1.16,1.11,1.06,6.6,3,0.12,1.14,0.65,7.4,0.39,1.87,0.88,0.69
1995JJ00,1.19,1.1,1.04,6.52,3.35,0.11,1.04,0.65,7.33,0.47,2.12,0.86,0.7
1996JJ00,1.19,1.11,1.03,6.53,2.89,0.13,1.03,0.66,7.47,0.38,2.11,0.85,0.69
1997JJ00,1.18,1.09,1.05,6.59,3.43,0.13,1.03,0.67,7.99,0.35,2.09,0.86,0.73
1998JJ00,1.17,1.12,1.09,6.83,3.45,0.11,1.05,0.69,8.06,0.48,2.09,0.85,0.78
1999JJ00,1.18,1.14,1.08,6.92,3.02,0.11,1.06,0.69,7.82,0.51,2.05,0.87,0.77
2000JJ00,1.17,1.29,1.09,7.01,6.16,1.4,0.64,0.51,7.63,0.63,2.12,0.88,1.02
2001JJ00,1.29,1.34,1.11,7.34,5.96,1.4,0.69,0.57,8.81,0.75,2.21,0.89,1.1
2002JJ00,1.38,1.38,1.12,7.58,5.76,1.4,0.72,0.61,8.12,0.87,2.27,0.88,1.15
2003JJ00,1.43,1.39,1.09,7.67,5.54,1.9,0.76,0.62,8,0.79,2.27,0.85,1.12
2004JJ00,1.29,1.41,1.05,7.34,4.94,1.6,0.73,0.6,7.75,0.73,1.81,0.82,0.97
2005JJ00,1.28,1.43,1.01,7.18,5.5,1.4,0.68,0.6,7.55,0.58,1.5,0.79,0.87
2006JJ00,1.31,1.37,1.01,7.24,5.8,1.4,0.68,0.6,7.93,0.86,1.39,0.78,0.85
2007JJ00,1.37,1.35,1.08,7.11,6,1.4,0.7,0.58,7.73,0.81,1.48,0.8,0.84
2008JJ00,1.46,1.48,1.22,8.39,6.6,1.5,0.78,0.7,7.84,0.77,1.73,0.78,0.9
2009JJ00,1.6,1.46,1.15,8.15,6.58,1.5,0.79,0.71,8.29,0.72,2.03,0.79,0.91
2010JJ00,1.41,1.17,1.04,8.8,6.18,1.6,0.77,0.64,7.44,0.88,1.82,0.75,0.94
2011JJ00,1.4,1.29,1.16,9.3,8.16,1.6,0.79,0.67,8.18,0.83,1.75,0.79,1.03
2012JJ00,1.33,1.17,1.12,8.63,8.34,1.7,0.72,0.71,7.68,0.79,1.72,0.93,1.11
2013JJ00,1.45,1.21,1.19,8.89,8.74,1.89,0.74,0.76,7.41,1.03,2.09,1.04,1.07
2014JJ00,1.49,1.2,1.33,9.24,9.34,1.84,0.79,0.8,6.86,0.94,2.24,0.99,1.08
2015JJ00,1.48,1.19,1.28,7.19,10.39,1.96,0.9,0.77,7,1.09,2.31,0.98,1.14
2016JJ00,1.49,1.17,1.26,6.94,9.51,2.07,0.91,0.76,7.1,1.24,2.17,0.8,1.19
2017JJ00,1.48,1.14,1.69,10.22,9.43,2.24,0.93,0.9,7.61,1.31,2.1,0.67,1.16
2018JJ00,1.48,1.16,2.04,10.98,8.73,2.47,0.77,0.9,7.26,1.33,2.02,0.68,1.16
